Data;OrderNo;ProductId;ProductDescription;Categoria;Fornitore;Quantity;GrossPrice;Sc1;Sc2;NetPrice;PurchasePrice;ispromo;VatPerc
18/03/2022;105391;11878;"Percarbonato di sodio puro - 500 g";"Detersivi";"Officina naturae";1;36.066;0.00;0.00;36.066;22.000;0;22.00
18/03/2022;105391;16808;"Assorbenti Post parto Happy Bella Baby";"Intimo";"Bella Baby";2;18.033;0.00;0.00;18.033;11.000;0;22.00
18/03/2022;105376;16911;"SolidOlio Bianco Bio Vegan Senza Profumo";"Cosmetici";"Nature's";1;114.754;0.00;0.00;114.754;70.000;0;22.00
18/03/2022;105388;18661;"Body a manica corta in Bamboo organico - 12/18 mesi";"Intimo";"Intimissimi";1;85.492;0.00;0.00;85.492;69.500;0;22.00
18/03/2022;105360;18665;"Body a manica corta in Bamboo organico - 3 mesi";"Intimo";"Intimissimi";1;85.492;0.00;0.00;85.492;69.500;0;22.00
18/03/2022;105379;19462;"Percarbonato sbiancante formula potenziata";"Detersivi";"Officina naturae";1;89.344;0.00;0.00;89.344;65.400;0;22.00
18/03/2022;105360;19668;"Calza Donna a fantasmino taglio vivo in Fibra di Eucalipto - Nuvola";"Calze";"CalzaBio";1;57.541;0.00;0.00;57.541;32.000;0;22.00
18/03/2022;105360;19669;"Calza Donna a fantasmino taglio vivo in Fibra di Eucalipto - Blu indaco";"Calze";"CalzaBio";1;57.541;0.00;0.00;57.541;32.000;0;22.00
